Architect|Borough|DateDesignated|LPCId|LPNumber|Name|ObjectType|PhotoStatus|PhotoURL|Street|Style
Joseph Urban; George B. Post & Sons|Manhattan|2/16/1988|1625|LP-01625|Hearst Magazine Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1625.jpg|951-969 Eighth Avenue|Art Deco, Viennese Secessionist
Unknown|Manhattan|12/19/1989|1626|LP-01626|Riverside-West End Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1626.jpg||N/A
Unknown|Staten Island|3/22/1988|1627|LP-01627|Public School 20 Annex|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1627.jpg|160 Heberton Avenue|Romanesque Revival
Walter C. Martin|Bronx|12/11/1990|1628|LP-01628|Herman Ridder Junior High School (Public School 98)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1628.jpg|1619 Crotona Park East|Modernistic Art Deco
Unknown|NA|1/14/1992|1629|LP-01629|Macomb's Dam Bridge (former Central Bridge) and 155th Street Viaduct|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1629.jpg|Macomb'S Dam Bridge From Jerome Avenue And East 162 Street (Bronx) To West 115 Street And St. Nicholas Place (Manhattan)|N/A
Unknown|Manhattan|6/7/1988|1630|LP-01630|160 East 92nd Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1630.jpg|160 East 92 Street|Vernacular Frame
Sidney V. Stratton|Manhattan|10/2/1990|1632|LP-01632|New York House and School of Industry|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1632.jpg|120 West 16Th Street|Queen Anne
DeLemos & Cordes; Rudolph L. Daus|Manhattan|6/7/1988|1633|LP-01633|New York County National Bank|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1633.jpg|77-79 Eighth Avenue|Beaux Arts
R. H. Robertson|Manhattan|6/8/1988|1634|LP-01634|New York Savings Bank|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1634.jpg|81 Eighth Avenue|Classical Revival
R. H. Robertson|Manhattan|6/21/1988|1635|LP-01635|New York Savings Bank|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1635.jpg|81 Eighth Avenue|Classical Revival
Unknown|Brooklyn|7/12/1988|1636|LP-01636|The Cyclone|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1636.jpg|817 Boardwalk West|N/A
Unknown|Brooklyn|5/23/1989|1638|LP-01638|The Parachute Jump|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1638.jpg|1904 Surf Avenue|N/A
Unknown|Staten Island|10/6/1987|1639|LP-01639|John King Vanderbilt House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1639.jpg|1197 Clove Road|Greek Revival
Unknown|Staten Island|10/6/1987|1640|LP-01640|Dorothy Valentine Smith House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1640.jpg|1213 Clove Road; 1179 Victory Boulevard; 146 Waldron Avenue|Queen Anne
Gilbert A. Schellenger|Manhattan|11/10/1987|1644|LP-01644|354 Central Park West House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1644.jpg|354 Central Park West|Neo-Renaissance
Gilbert A. Schellenger|Manhattan|11/10/1987|1645|LP-01645|355 Central Park West House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1645.jpg|355 Central Park West|Neo-Renaissance
Unknown|Manhattan|7/11/1989|1646|LP-01646|South Street Seaport Historic District Extension|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1646.jpg||N/A
Unknown|Manhattan|4/24/1990|1647|LP-01647|Upper West Side/Central Park West Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1647.jpg||N/A
Charles Wright|Manhattan|8/1/1989|1648|LP-01648|90-94 Maiden Lane Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1648.jpg|90-94 Maiden Lane|French Second Empire,
John B. Snook|Manhattan|8/29/1989|1649|LP-01649|287 Broadway Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1649.jpg|287 Broadway|Cast Iron, French Second Empire
D. & J. Jardine|Manhattan|8/29/1989|1650|LP-01650|319 Broadway Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1650.jpg|319 Broadway|Italianate
John Kellum & Son|Manhattan|3/22/1988|1651|LP-01651|Condict Store|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1651.jpg|55 White Street|N/A
Unknown|Staten Island|3/21/1989|1652|LP-01652|Gustave A. Mayer House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1652.jpg|2475 Richmond Road|Italian Villa
Unknown|Manhattan|5/14/1991|1654|LP-01654|"Jeffrey's Hook Lighthouse (""The Little Red Lighthouse"")"|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1654.jpg|Riverside Drive|Utilitarian
Frank A. Rooke|Manhattan|8/14/1990|1658|LP-01658|Claremont Stables (now Claremenont Riding Academy)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1658.jpg|173-177 West 89 Street|Romanesque Revival
Charles C. Haight (school), William A. Potter (parish house)|Manhattan|8/1/1989|1659|LP-01659|Trinity School and the Former St. Agnes Parish House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1659.jpg|121-147 West 91 Street|English Collegiate, Romanesque Revival
Harry Allan Jacobs|Manhattan|10/2/1990|1660|LP-01660|Hotel Marseilles|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1660.jpg|2689 Broadway|Beaux Arts
Harvey Wiley Corbett of Helmle Corbett & Harrison with Sugarman & Burger|Manhattan|12/5/1989|1661|LP-01661|Master Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1661.jpg|310 Riverside Drive|Skyscraper, Art Deco
Unknown|Bronx|10/16/1990|1663|LP-01663|Riverdale Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1663.jpg||N/A
Ludwig Mies van der Rohe; Philip Johnson; Kahn & Jacobs|Manhattan|10/3/1989|1664|LP-01664|Seagram Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1664.jpg|375 Park Avenue|International Style
Ludwig Mies van der Rohe; Philip Johnson; Kahn & Jacobs|Manhattan|10/3/1989|1665|LP-01665|Seagram Building|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1665.jpg|375 Park Avenue|International Style
Philip Johnson|Manhattan|10/3/1989|1666|LP-01666|Four Seasons Restaurant|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1666.jpg|99 East 52Nd Street|International Style
Frederic C. Hirons; Dennison & Hirons|Manhattan|8/23/1988|1667|LP-01667|Beaux-Arts Institute of Design|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1667.jpg|304 East 44Th Street|Beaux-Arts, Art Deco
Kenneth M. Murchison; Raymond M. Hood; Raymond Hood, Godley & Fouilhoux|Manhattan|7/11/1989|1668|LP-01668|Beaux-Arts Apartments|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1668.jpg|307 East 44Th Street|International Style
Kenneth M. Murchison; Raymond M. Hood; Raymond Hood, Godley & Fouilhoux|Manhattan|7/11/1989|1669|LP-01669|Beaux-Arts Apartments|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1669.jpg|310 East 44Th Street|International Style
Horgan & Slattery|Manhattan|8/1/1989|1670|LP-01670|First Battery Armory|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1670.jpg|56 West 66Th Street|Medieval
Clarence F. True|Manhattan|4/16/1991|1672|LP-01672|103 Riverside Drive House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1672.jpg|103 Riverside Drive|Elizabethan Revival
Unknown|Manhattan|4/16/1991|1673|LP-01673|104 Riverside Drive House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1673.jpg|104 Riverside Drive|Elizabethan Revival
Unknown|Manhattan|4/16/1991|1674|LP-01674|105 Riverside Drive House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1674.jpg|105 Riverside Drive|Elizabethan Revival
Unknown|Manhattan|4/16/1991|1675|LP-01675|107-109 Riverside Drive House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1675.jpg|109 Riverside Drive|Elizabethan Revival
Unknown|Manhattan|4/16/1991|1676|LP-01676|332 West 83rd Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1676.jpg|332 West 83 Street|N/A
Unknown|Manhattan|4/16/1991|1677|LP-01677|316 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1677.jpg|316 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1678|LP-01678|318 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1678.jpg|318 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1679|LP-01679|320 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1679.jpg|320 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1680|LP-01680|322 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1680.jpg|322 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1681|LP-01681|324 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1681.jpg|324 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1682|LP-01682|326 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1682.jpg|326 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1683|LP-01683|329 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1683.jpg|329 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1684|LP-01684|331 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1684.jpg|331 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1685|LP-01685|333 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1685.jpg|333 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1686|LP-01686|335 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1686.jpg|335 West 85 Street|N/A
Unknown|Manhattan|4/16/1991|1687|LP-01687|337 West 85th Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1687.jpg|337 West 85 Street|N/A
James W. Cole|Manhattan|2/19/1991|1689|LP-01689|Charles A. Vissani Residence|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1689.jpg|143 West 95 Street|Gothic Revival
James E Ware, James E Ware and Sons|Manhattan|4/24/1990|1692|LP-01692|City and Suburban Homes Company, First Avenue Estate|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1692.jpg|401 East 64 Street; 410 East 65 Street; 417 East 64 Street|Vernacular
Philip H Ohm|Manhattan|11/21/2006|1692A|LP-01692A|Amendment to City & Suburban Homes Company, First Avenue Estate: 429 East 64th Street and 430 East 65th Street|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1692A.jpg|429 East 64 Street|Vernacular
Clarence True|Manhattan|8/2/1988|1693|LP-01693|John B. & Isabella Leech House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1693.jpg|520 West End Avenue|N/A
Harde and Short, Percy Griffen and Philip H. Ohm|Manhattan|4/24/1990|1694|LP-01694|City and Suburban Homes Company, Avenue A (York Avenue) Estate|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1694.jpg|1472 York Avenue; 503 East 78 Street; 504 East 79 Street; 510 East 79 Street; 511 East 78 Street; 516 East 79 Street; 519 East 78 Street; 524 East 79 Street; 527 East 78 Street; 532 East 79 Street; 53|Renaissance Revival
Unknown|Staten Island|11/1/1988|1696|LP-01696|Lane Theater|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1696.jpg|168 New Dorp Lane|Art Moderne
Hiss & Weekes|Manhattan|6/6/1989|1697|LP-01697|Gotham Hotel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1697.jpg|696-700 Fifth Avenue|Italian Renaissance
Ernest Flagg|Manhattan|7/11/1989|1698|LP-01698|Scribner Building|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1698.jpg|597 Fifth Avenue|N/A
George Ingram|Brooklyn|9/21/1993|1703|LP-01703|(Former) 19th Police Precinct Station and Stable|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1703.jpg|37 Herbert Street|Romanesque Revival
Unknown|Brooklyn|10/3/1989|1705|LP-01705|Hendrick I. Lott House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1705.jpg|1940 East 36 Street|Dutch Colonial
Bloch & Hesse|Brooklyn|3/3/1992|1706|LP-01706|F. W. I. L. Lundy Brothers Restaurant Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1706.jpg|1901 Emmons Avenue|Spanish Colonial Revival
Unknown|Staten Island|5/1/1990|1707|LP-01707|Henry Hogg Biddle House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1707.jpg|70 Satterlee Street|Vernacular, Dutch Colonial, Greek Revival
Unknown|Brooklyn|5/23/1989|1708|LP-01708|The Wonder Wheel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1708.jpg|3059 West 12 Street|N/A
Boak & Paris|Manhattan|7/11/1989|1710|LP-01710|Midtown Theater (now Metro Theater)|Individual Landmark|FALSE||2624 Broadway|Art Deco
Unknown|Manhattan|12/8/1992|1711|LP-01711|Tribeca East Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1711.jpg||N/A
Unknown|Manhattan|12/8/1992|1712|LP-01712|Tribeca South Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1712.jpg||N/A
Unknown|Manhattan|5/7/1991|1713|LP-01713|Tribeca West Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1713.jpg||N/A
Unknown|Manhattan|12/8/1992|1714|LP-01714|Tribeca North Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1714.jpg||N/A
C. P. H. Gilbert|Manhattan|1/8/1991|1715|LP-01715|Frederick and Lydia Prentiss House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1715.jpg|1 Riverside Drive|Beaux Arts
C. P. H. Gilbert|Manhattan|1/8/1991|1716|LP-01716|Philip and Maria Kleeberg House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1716.jpg|3 Riverside Drive|French Renaissance
Gilbert A. Schellenger|Manhattan|1/8/1991|1717|LP-01717|309 West 72nd Street House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1717.jpg|309 West 72Nd Street|Renaissance Revival
C. P. H. Gilbert|Manhattan|1/8/1991|1718|LP-01718|John and Mary Sutphen House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1718.jpg|311 West 72Nd Street|N/A
Trowbridge & Livingston|Manhattan|9/21/1993|1719|LP-01719|Fire Engine Company No. 7/Hook & Ladder Company No. 1|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1719.jpg|100 Duane Street|French Renaissance
Scott & Umbach|Manhattan|11/12/1991|1725|LP-01725|175 West Broadway Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1725.jpg|175 West Broadway|Classical Revival
McKenzie, Voorhees & Gmelin; Ralph Walker|Manhattan|10/1/1991|1745|LP-01745|Barclay-Vesey Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1745.jpg|140 West Street|N/A
McKenzie, Voorhees & Gmelin; Ralph Walker|Manhattan|10/1/1991|1746|LP-01746|Barclay-Vesey Building|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1746.jpg|140 West Street|N/A
Voorhees, Gmelin & Walker; Ralph Walker|Manhattan|10/1/1991|1747|LP-01747|Long Distance Building of the American Telephone & Telegraph Company|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1747.jpg|32 Sixth Avenue|Art Deco
Voorhees, Gmelin & Walker; Ralph Walker|Manhattan|10/1/1991|1748|LP-01748|Long Distance Building of the American Telephone & Telegraph Company|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1748.jpg|32 Sixth Avenue|Art Deco
Voorhees, Gmelin & Walker; Ralph Walker|Manhattan|10/1/1991|1749|LP-01749|Western Union Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1749.jpg|60 Hudson Street|Dutch and German Expressionist
Voorhees, Gmelin & Walker; Ralph Walker|Manhattan|10/1/1991|1750|LP-01750|Western Union Building|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1750.jpg|60 Hudson Street|Dutch and German Expressionist
Napoleon Le Brun & Sons; Pierre Le Brun; Harding & Gooch|Manhattan|11/12/1991|1751|LP-01751|Home Life Insurance Company Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1751.jpg|256-257 And 253 Broadway|N/A
Cass Gilbert|Manhattan|1/14/1992|1753|LP-01753|Broadway-Chambers Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1753.jpg|277 Broadway|N/A
Field & Correja|Manhattan|10/16/1990|1758|LP-01758|359 Broadway Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1758.jpg|359 Broadway|Italianate
George H. Griebel|Manhattan|1/14/1992|1759|LP-01759|Ahrens Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1759.jpg|70-76 Lafayette Street|Romanesque Revival
Gambrill & Richardson|Manhattan|1/5/1993|1763|LP-01763|Century Assocation Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1763.jpg|111 East 15Th Street|Neo Grec
Harrison G. Wiseman|Manhattan|2/9/1993|1764|LP-01764|Louis N. Jaffe Art Theater (Yiddish Art Theater/Yiddish Folks Thearter)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1764.jpg|189 Second Avenue|N/A
Harrison G. Wiseman|Manhattan|2/9/1993|1765|LP-01765|Louis N. Jaffe Art Theater (Yiddish Art Theater/Yiddish Folks Theater)|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1765.jpg|189 Second Avenue|N/A
York & Sawyer|Manhattan|3/3/1992|1766|LP-01766|Greenwich Savings Bank|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1766.jpg|1352-1362 Broadway|Neo-Classical
York & Sawyer|Manhattan|3/3/1992|1767|LP-01767|Greenwich Savings Bank|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1767.jpg|1352 Broadway|Neo-Classical
James E. Ware|Manhattan|8/13/1991|1770|LP-01770|Osborne Apartments|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1770.jpg|205 West 57Th Street|Italian Renaissance
Ernest Flagg, James Whitford, Jr.|Staten Island|11/20/1990|1772|LP-01772|Reformed Church of Huguenot Park|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1772.jpg|5475 Amboy Road|Vernacular Norman
Frank Lloyd Wright|Staten Island|8/14/1990|1773|LP-01773|The Crimson Beech|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1773.jpg|48 Manor Court|Pre-fabricated
Frank Lloyd Wright|Manhattan|8/14/1990|1774|LP-01774|The Solomon R. Guggenheim Museum|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1774.jpg|1070 Fifth Avenue|Modern
Frank Lloyd Wright|Manhattan|8/14/1990|1775|LP-01775|Solomon R. Guggenheim Museum|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1775.jpg|1070 Fifth Avenue|Modern
Lansing C. Holden and Pual F. Higgs (church, 1887-1892), Langston & Dahlander (church house, 1891-1893)|Brooklyn|11/20/1990|1790|LP-01790|Antioch Baptist Church (originally Greene Avenue Baptist Church) and Church House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1790.jpg|828 Greene Avenue|Romanesque Revival/ Queen Anne
Charles C. Haight|Bronx|6/2/1992|1794|LP-01794|Second Battery Armory|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1794.jpg|1140 Franklin Avenue|Gothic
Springsteen & Goldhammer (partial), Herman Jessor (partial)|Bronx|6/2/1992|1795|LP-01795|"United Workers' Cooperative Colony (""The Coops"")"|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1795.jpg|2700 Bronx Park East|Neo-Tudor
Joseph H. Freedlander, Harry Allan Jacobs, David Levy (wings)|Bronx|6/2/1992|1796|LP-01796|Andrew Freedman Home|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1796.jpg|1125 Grand Concourse|Italian Renaissance
C.B.J. Snyder|Queens|1/8/1991|1798|LP-01798|Flushing High School|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1798.jpg|35-01 North Boulevard|Collegiate Gothic
York & Sawyer|Manhattan|1/4/1994|1804|LP-01804|Central Savings Bank (now Apple Bank for Savings)|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1804.jpg|2100-2114 Broadway|Italian Renaissance
Simeon B. Eisendrath|Manhattan|8/14/1990|1805|LP-01805|574 Sixth Avenue Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1805.jpg|574 Sixth Avenue|N/A
James W. Naughton|Brooklyn|4/23/1991|1808|LP-01808|Public School 86 (Irvington School)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1808.jpg|212 Irving Avenue|Romanesque Revival
Hazzard Erskine & Blagden|Bronx|6/2/1992|1809|LP-01809|62nd Police Precinct Station House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1809.jpg|1086 Simpson Street|Italian Renaissance
Victor L. S. Hafner; Edward Hall Faile|Manhattan|1/14/1992|1810|LP-01810|Goelet Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1810.jpg|608 Fifth Avenue|Art Deco
Victor L. S. Hafner; Edward Hall Faile|Manhattan|1/14/1992|1811|LP-01811|Goelet Building|Interior Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1811.jpg|608 Fifth Avenue|Art Deco
Schultze & Weaver; Lloyd Morgan|Manhattan|1/5/1993|1812|LP-01812|Waldorf-Astoria Hotel|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1812.jpg|301 Park Avenue|Art Deco
Unknown|Manhattan|2/19/1991|1814|LP-01814|Actors Studio|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1814.jpg|432 West 44Th Street|Greek Revival
Unknown|Manhattan|12/11/1990|1815|LP-01815|126 West 18th Street Stable|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1815.jpg|126 West 18Th Street|Round-arch
Unknown|Manhattan|12/11/1990|1816|LP-01816|128 West 18th Street Stable|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1816.jpg|128 West 18Th Street|Round-arch
Unknown|Manhattan|12/11/1990|1817|LP-01817|130-132 West 18th Street Stables Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1817.jpg|130-132 West 18Th Street|Round-arch
Unknown|Manhattan|12/11/1990|1818|LP-01818|136 West 18th Street Stable|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1818.jpg|136 West 18Th Street|Round-arch
Unknown|Manhattan|12/11/1990|1819|LP-01819|140 West 18th Street Stable|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1819.jpg|140 West 18Th Street|Round-arch
Unknown|Queens|10/19/1993|1831|LP-01831|Jackson Heights Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1831.jpg||N/A
Unknown|Manhattan|12/21/1993|1834|LP-01834|Expanded Carnegie Hill Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/1834.jpg||N/A
Daivd I. Stagg|Manhattan|6/25/1996|1836|LP-01836|Public School 72|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1836.jpg|1680 Lexington Avenue|Neo-Grec
Herts & Tallant|Manhattan|6/25/1996|1837|LP-01837|New York Public Library, Aguilar Branch|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1837.jpg|172 East 110 Street|Classical Revival
Napoleon Le Brun & Sons|Manhattan|6/17/1997|1838|LP-01838|Fire Hook & Ladder Company No. 14|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1838.jpg|120 East 125 Street|Romanesque Revival
Lamb & Rich|Manhattan|1/5/1993|1839|LP-01839|Mount Morris Bank Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1839.jpg|81 East 125 Street|Romanesque Revival
CBJ Snyder|Manhattan|7/26/1994|1840|LP-01840|Wadleigh High School for Girls|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1840.jpg|203 West 114 Street|French Renaissance
Thomas W. Lamb|Manhattan|3/8/1994|1841|LP-01841|Regent Theater (now First Corinthian Baptist Church)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1841.jpg|1912 Adam C Powell Blvd|N/A
Mortimer C. Merritt|Manhattan|1/5/1993|1842|LP-01842|Washington Apartments|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1842.jpg|2030 Adam C Powell Blvd|Queen Anne
George & Edward Blum|Manhattan|7/13/1993|1843|LP-01843|Hotel Theresa|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1843.jpg|2082 Adam C Powell Blvd|N/A
Scheider & Herter|Manhattan|3/8/1994|1844|LP-01844|(Former) St. Paul's German Evangelical Lutheran Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1844.jpg|147 West 123 Street|Neo-Gothic
Unknown|Manhattan|7/26/1994|1845|LP-01845|12 West 129th Street House|Individual Landmark|FALSE||12 West 129 Street|N/A
Tandy & Foster|Manhattan|7/13/1993|1846|LP-01846|St. Philip's Protestant Episcopal Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1846.jpg|210 West 134 Street|Neo-Gothic
George W. Foster Jr.|Manhattan|7/13/1993|1849|LP-01849|Mother African Methodist Episcopal Zion Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1849.jpg|140 West 137 Street|Neo-Gothic
Charles W. Bolton & Son|Manhattan|7/13/1993|1851|LP-01851|Abyssinian Baptist Church & Community House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1851.jpg|132 West 138 Street|Neo-Gothic
William H. Gompert|Manhattan|6/24/1997|1859|LP-01859|New York Training School for Teachers/New York Model School|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1859.jpg|117 Convent Avenue|Collegiate Gothic
Hugo Kafka|Manhattan|9/21/1993|1860|LP-01860|Joseph Loth & Company Silk Ribbon Mill|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/1860.jpg|1820 Amsterdam Avenue|N/A
